,climate_migration_displaced,climate_migration_dead,simple_migration,pop_dens_mean,energy_mean,fitness_mean
23,261.37729708754716,3.8774859035162774,0,0.08082500849249571,0.06076792052077366,0.054897394619458924
24,152.9578366310242,2.42312461167393,0,0.08128540180076291,0.05602601441907848,0.05614714487836835
25,181.75326226829333,2.982547796043749,0,0.07897850864600407,0.056132914078656095,0.05738255044471381
26,189.78284282238673,3.681905735022375,0,0.07989494659602166,0.05619391510353408,0.05895781704818226
27,154.52859434930696,2.9377818125749218,0,0.08069759000795428,0.053735403747658325,0.06076897926729087
28,181.3208012215846,3.02897308567855,0,0.07996127060566914,0.054473945061031016,0.06252878849920572
29,175.1236429314736,3.00174157317725,0,0.08019526677528724,0.05510814614126435,0.06354611212722819
30,260.12350123387006,4.100780383634989,0,0.08000254267439386,0.060957472837188706,0.06452115090580907
31,149.97511040774694,2.3196051883970044,0,0.08393631484022676,0.056257372197898954,0.0662381516664711
32,272.5401509098254,4.2211387390535595,0,0.08167145259380039,0.06288297673998965,0.06714267242168168
33,185.7878413873699,3.220097214588653,0,0.08544742939735873,0.06082233265542395,0.06798364134437201
34,199.69176318743422,3.7982848674500294,0,0.08445270598708647,0.060089877640349385,0.06922947185881172
35,177.91268704019345,3.5161492809412525,0,0.0840461637318085,0.05854540596801176,0.07009879620848987
36,210.14687109365215,3.854809669313144,0,0.08460319004083419,0.059839612793778384,0.07122250331779485
37,169.30551624135842,2.9877175027899354,0,0.08302716512434212,0.05808273563580587,0.0729390107979641
38,198.56221249814521,3.232536638319442,0,0.08350889904899304,0.05907503106864592,0.07402642372803607
39,205.41821880243987,3.5773611941843524,0,0.08421745662831269,0.060421590625741865,0.07464316151295461
40,172.79050563891258,2.6215652624848285,0,0.08495909189035775,0.05917357632657923,0.07534789478626305
41,105.6926430748608,1.5476858066602972,0,0.08456007402727152,0.05484934988432327,0.07543374144021162
42,100.31816768706572,1.8216323818387399,0,0.08398241138501868,0.052418836335250504,0.07587134670011349
43,158.22264499012377,2.5747214092407886,0,0.08331978068359368,0.05480248140887197,0.07697971280720653
44,134.84003193440307,2.3783238862048455,0,0.08514964836076347,0.05478412973748302,0.07718834350258003
45,181.0600401413636,3.2187663290025808,0,0.08442819435844122,0.05753706988586893,0.07773083465905599
46,159.47270845812582,2.5823891400378627,0,0.08683694601820313,0.05703003718900457,0.07855780320650481
47,158.97639774398584,2.8247251785827916,0,0.08594213689466283,0.057380717083603774,0.07902437171631224
48,165.1571850755028,2.6012493480343326,0,0.08591460582272814,0.057682729758413785,0.07949402917852465
49,125.52447697240515,2.03071279734096,0,0.08618931455883076,0.055243867878639094,0.08022234901007108
50,93.6869811847119,1.478105250577553,0,0.08593132992767172,0.05236599047693931,0.08083602469425576
51,113.49826676674175,1.8124266738064378,0,0.08394292208699555,0.05275270267740532,0.08145019715556395
52,137.48382680740934,2.449237481832977,0,0.08376805204677147,0.05489970121004824,0.0814566468091538
53,124.47088550745073,2.1820062582242743,0,0.08553642873145668,0.05492502748313284,0.08194602269168094
54,113.10841152753329,1.9626162420971565,0,0.08570221055751087,0.054621063678812073,0.08185269300114859
55,54.23445015162311,0.9206182163656946,0,0.08576345796448147,0.05052423527212021,0.08201858653900278
56,119.7303537492126,1.987952523849451,0,0.0835299819804896,0.05267779169497156,0.08181154913228127
57,148.63975631419683,2.5021739311484255,0,0.08509727553408392,0.054799840228168445,0.08227674804629813
58,111.04831160217091,1.838708182074577,0,0.08610304003520164,0.053838409149608274,0.08300460670190779
59,119.65350596953236,1.7281611628159563,0,0.08551505032916738,0.0538025101652436,0.08335948911716232
60,129.0210998149125,2.0012775627440256,0,0.08627247830378289,0.05462638878908622,0.08363670400136203
61,119.83433879504783,2.154975521675961,0,0.08605678284951383,0.05410980803225556,0.08373097454530186
62,104.74987017008733,1.6960511168569326,0,0.08585067067805394,0.05326377080190272,0.08380411429700117
63,149.54446722235988,2.2951906449587636,0,0.08581168678030072,0.055858402044874036,0.08399191017480277
64,155.72619421113882,2.8119688005904964,0,0.08442225951720796,0.0577359791505701,0.0846222892819917
65,161.87817262927842,2.6406337035942373,0,0.08766065433424121,0.058739554482742026,0.0845199623311299
66,187.37600413347204,3.202458916228915,0,0.08833158354445439,0.06089560309075462,0.08468578751335025
67,146.48124680183207,2.227719180948812,0,0.08871062751972342,0.05975772317918099,0.08486797546201963
